OrderPriority,OrderPriorityPrice,Discount,UnitPrice,OrderQuantity,ShippingCost,ProductBaseMargin,Profit
3,10,0.1,6,32,5,0.68,1
0,0,0.08,96,2,35,0.5,1
4,15,0.06,41,3,3,0.36,1
1,5,0,292,4,49,0.56,1
1,5,0.07,101,43,45,0.69,1
1,5,0.05,155,32,7,0.59,1
4,15,0.09,9,16,2,0.4,1
4,15,0.08,15,43,2,0.39,1
4,15,0.06,41,1,3,0.36,0
1,5,0.05,155,8,7,0.59,1
4,15,0.09,9,4,2,0.4,0
4,15,0.08,15,11,2,0.39,1
3,10,0.03,4,29,1,0.44,1
1,5,0.05,575,49,24,0.06,1
3,10,0.03,6,29,3,0.37,1
3,10,0.09,213,4,52,0.64,1
3,10,0.03,4,7,1,0.44,1
1,5,0.08,43,3,17,0.66,1
1,5,0.05,575,12,24,0.06,1
1,5,0.04,10,3,2,0.36,1
3,10,0.05,21,3,21,0.78,1
0,0,0,213,1,15,0.59,1
4,15,0.03,5,4,6,0.4,0
4,15,0.01,111,2,3,0.57,1
3,10,0.09,213,1,52,0.64,1
4,15,0.03,3,17,6,0.4,0
4,15,0.07,4,42,2,0.35,1
3,10,0.06,351,3,30,0.61,1
4,15,0.03,3,4,6,0.4,0
4,15,0.07,4,11,2,0.35,0
3,10,0.06,351,1,30,0.61,1
0,0,0.05,8,24,6,0.36,1
3,10,0.03,28,6,2,0.4,1
3,10,0.01,206,11,6,0.59,1
2,7,0.09,6,43,5,0.68,1
4,15,0.08,2,43,1,0.58,1
4,15,0.06,21,29,53,0.64,1
4,15,0.08,5,49,6,0.7,1
4,15,0.04,126,25,5,0.55,1
0,0,0.05,8,6,6,0.36,1
3,10,0.03,28,2,2,0.4,1
3,10,0.01,206,3,6,0.59,1
2,7,0.09,6,11,5,0.68,1
4,15,0.01,194,5,12,0.59,1
4,15,0.02,210,10,21,0.59,1
4,15,0,145,8,18,0.56,1
0,0,0.08,244,1,43,0.55,1
3,10,0.08,121,2,26,0.38,1
4,15,0.08,2,11,1,0.58,0
4,15,0.04,126,6,5,0.55,1
2,7,0.05,7,19,5,0.37,1
0,0,0.06,2,27,2,0.51,1
0,0,0.01,31,34,5,0.4,1
2,7,0.07,8,1,6,0.35,0
