OrderPriority,OrderPriorityPrice,Discount,UnitPrice,OrderQuantity,ShippingCost,ProductBaseMargin,Profit
3,10,0.1,6,32,5,0.68,106.36
0,0,0.08,96,2,35,0.5,45.64
4,15,0.06,41,3,3,0.36,33.9
1,5,0,292,4,49,0.56,605.08
1,5,0.07,101,43,45,0.69,2647.66
1,5,0.05,155,32,7,0.59,2671.4
4,15,0.09,9,16,2,0.4,42.64
4,15,0.08,15,43,2,0.39,197.95
4,15,0.06,41,1,3,0.36,9.3
1,5,0.05,155,8,7,0.59,662.6
4,15,0.09,9,4,2,0.4,9.16
4,15,0.08,15,11,2,0.39,49.15
3,10,0.03,4,29,1,0.44,46.56
1,5,0.05,575,49,24,0.06,116.88
3,10,0.03,6,29,3,0.37,56.16
3,10,0.09,213,4,52,0.64,416.6
3,10,0.03,4,7,1,0.44,10.48
1,5,0.08,43,3,17,0.66,57.82
1,5,0.05,575,12,24,0.06,10.5
1,5,0.04,10,3,2,0.36,7.6
3,10,0.05,21,3,21,0.78,24.99
0,0,0,213,1,15,0.59,110.67
4,15,0.03,5,4,6,0.4,1.4
4,15,0.01,111,2,3,0.57,121.32
3,10,0.09,213,1,52,0.64,65.15
4,15,0.03,3,17,6,0.4,12.87
4,15,0.07,4,42,2,0.35,45.04
3,10,0.06,351,3,30,0.61,549.15
4,15,0.03,3,4,6,0.4,-1.56
4,15,0.07,4,11,2,0.35,10.32
3,10,0.06,351,1,30,0.61,163.05
0,0,0.05,8,24,6,0.36,53.52
3,10,0.03,28,6,2,0.4,60.16
3,10,0.01,206,11,6,0.59,1308.28
2,7,0.09,6,43,5,0.68,147.22
4,15,0.08,2,43,1,0.58,42
4,15,0.06,21,29,53,0.64,300.22
4,15,0.08,5,49,6,0.7,145.9
4,15,0.04,126,25,5,0.55,1601.5
0,0,0.05,8,6,6,0.36,8.88
3,10,0.03,28,2,2,0.4,18.72
3,10,0.01,206,3,6,0.59,352.44
2,7,0.09,6,11,5,0.68,33.94
4,15,0.01,194,5,12,0.59,550.6
4,15,0.02,210,10,21,0.59,1176
4,15,0,145,8,18,0.56,631.6
