OrderPriority,OrderPriorityPrice,Discount,UnitPrice,OrderQuantity,ShippingCost,ProductBaseMargin,Profit
High,10,0.1,6,32,5,0.68,106.36
Not Specified,0,0.08,96,2,35,0.5,45.64
Critical,15,0.06,41,3,3,0.36,33.9
Low,5,0,292,4,49,0.56,605.08
Low,5,0.07,101,43,45,0.69,2647.66
Low,5,0.05,155,32,7,0.59,2671.4
Critical,15,0.09,9,16,2,0.4,42.64
Critical,15,0.08,15,43,2,0.39,197.95
Critical,15,0.06,41,1,3,0.36,9.3
Low,5,0.05,155,8,7,0.59,662.6
Critical,15,0.09,9,4,2,0.4,9.16
Critical,15,0.08,15,11,2,0.39,49.15
High,10,0.03,4,29,1,0.44,46.56
Low,5,0.05,575,49,24,0.06,116.88
High,10,0.03,6,29,3,0.37,56.16
High,10,0.09,213,4,52,0.64,416.6
High,10,0.03,4,7,1,0.44,10.48
Low,5,0.08,43,3,17,0.66,57.82
Low,5,0.05,575,12,24,0.06,10.5
Low,5,0.04,10,3,2,0.36,7.6
High,10,0.05,21,3,21,0.78,24.99
Not Specified,0,0,213,1,15,0.59,110.67
Critical,15,0.03,5,4,6,0.4,1.4
Critical,15,0.01,111,2,3,0.57,121.32
High,10,0.09,213,1,52,0.64,65.15
Critical,15,0.03,3,17,6,0.4,12.87
Critical,15,0.07,4,42,2,0.35,45.04
High,10,0.06,351,3,30,0.61,549.15
Critical,15,0.03,3,4,6,0.4,-1.56
Critical,15,0.07,4,11,2,0.35,10.32
High,10,0.06,351,1,30,0.61,163.05
Not Specified,0,0.05,8,24,6,0.36,53.52
High,10,0.03,28,6,2,0.4,60.16
High,10,0.01,206,11,6,0.59,1308.28
Medium,7,0.09,6,43,5,0.68,147.22
Critical,15,0.08,2,43,1,0.58,42
Critical,15,0.06,21,29,53,0.64,300.22
Critical,15,0.08,5,49,6,0.7,145.9
Critical,15,0.04,126,25,5,0.55,1601.5
Not Specified,0,0.05,8,6,6,0.36,8.88
High,10,0.03,28,2,2,0.4,18.72
High,10,0.01,206,3,6,0.59,352.44
Medium,7,0.09,6,11,5,0.68,33.94
Critical,15,0.01,194,5,12,0.59,550.6
Critical,15,0.02,210,10,21,0.59,1176
Critical,15,0,145,8,18,0.56,631.6
Not Specified,0,0.08,244,1,43,0.55,71.68
High,10,0.08,121,2,26,0.38,46.6
Critical,15,0.08,2,11,1,0.58,10
Critical,15,0.04,126,6,5,0.55,380.56
Medium,7,0.05,7,19,5,0.37,37.56
Not Specified,0,0.06,2,27,2,0.51,22.3
Not Specified,0,0.01,31,34,5,0.4,406.06
Medium,7,0.07,8,1,6,0.35,-3.76
Medium,7,0.05,7,5,5,0.37,6.2
Not Specified,0,0.01,151,6,30,0.74,631.38
Not Specified,0,0.01,28,12,14,0.58,177.52
Not Specified,0,0.03,36,1,1,0.55,17.72
Critical,15,0.03,2,4,1,0.57,3.32
Not Specified,0,0.06,2,7,2,0.51,4.3
Not Specified,0,0.01,31,9,5,0.4,103.81
High,10,0.03,3,7,4,0.56,7.13
Critical,15,0.04,881,8,45,0.62,4042.84
Low,5,0.05,20,2,35,0.84,-3.4
Low,5,0.02,101,6,36,0.62,327.6
Medium,7,0.05,2,3,5,0.4,-2.9
Medium,7,0.07,700,3,24,0.41,690
Medium,7,0.07,6783,7,24,0.06,-736.22
Medium,7,0.09,21,30,9,0.37,167.4
Medium,7,0.03,74,2,15,0.65,76.76
Low,5,0.01,2,6,1,0.56,5.6
High,10,0.08,16,46,13,0.37,200.44
Medium,7,0.05,2,1,5,0.4,-4.3
Medium,7,0.07,700,1,24,0.41,214
Medium,7,0.07,6783,2,24,0.06,-227.49
Medium,7,0.03,74,1,15,0.65,30.88
High,10,0.07,66,3,6,0.58,94.98
High,10,0.08,16,12,13,0.37,42.68
Not Specified,0,0.07,15,23,4,0.08,-0.55
High,10,0.07,4,4,1,0.39,4.12
High,10,0.03,23,1,9,0.44,0.43
High,10,0.03,897,6,20,0.38,1863.7
Not Specified,0,0.07,15,60,4,0.08,5
Not Specified,0,0.02,4,9,7,0.39,6.32
Low,5,0.1,3,47,2,0.58,65.68
High,10,0,12,11,9,0.59,68.88
Not Specified,0,0.02,4,2,7,0.39,-4.04
Not Specified,0,0.09,3,6,1,0.59,8
Not Specified,0,0.01,5,6,8,0.08,-5.9
Not Specified,0,0.05,3,11,4,0.56,12.83
Low,5,0.1,3,12,2,0.58,15.28
Low,5,0.04,126,1,9,0.59,60.3
Critical,15,0.01,8,24,1,0.43,79.64
Critical,15,0.06,3,19,4,0.56,24.5
Medium,7,0,5,30,5,0.79,113.5
Critical,15,0.01,8,6,1,0.43,19.16
Critical,15,0.06,3,5,4,0.56,3.5
Low,5,0.03,298,12,15,0.57,1916.04
Low,5,0.05,30,11,9,0.74,218.7
Medium,7,0,5,8,5,0.79,26.6
Not Specified,0,0.02,6,4,9,0.37,-0.6
Critical,15,0.05,71,8,47,0.56,242.68
Critical,15,0.05,12,12,2,0.55,70
Low,5,0.08,400,5,12,0.56,948
Not Specified,0,0.08,298,5,15,0.57,715.1
Not Specified,0,0.02,13,11,14,0.73,87.53
Not Specified,0,0.06,14,5,7,0.52,25.2
Not Specified,0,0.05,4,7,7,0.49,5.32
Not Specified,0,0.03,11,5,5,0.36,13.15
Low,5,0.05,351,12,39,0.55,2067
Low,5,0,9,28,1,0.38,94.76
Not Specified,0,0.09,28,40,20,0.67,629.6
Medium,7,0.1,41,10,7,0.74,255.4
Not Specified,0,0.01,60,27,4,0.57,903.2
Low,5,0.05,351,3,39,0.55,487.5
Low,5,0,9,7,1,0.38,22.94
Low,5,0.02,2,11,1,0.83,16.82
Not Specified,0,0.09,28,10,20,0.67,142.4
Medium,7,0.1,41,3,7,0.74,71.72
Critical,15,0.03,351,11,30,0.61,2209.38
Critical,15,0.04,2,8,1,0.35,3.96
Low,5,0.02,48,3,5,0.37,45.4
Low,5,0.07,6,13,6,0.36,16.62
Critical,15,0.06,2,4,5,0.43,-2.04
Critical,15,0.08,116,5,56,0.4,129.6
Critical,15,0.08,4,7,1,0.56,12.44
Not Specified,0,0.1,208,4,68,0.58,331.36
Not Specified,0,0.07,90,2,20,0.4,39.4
Not Specified,0,0.01,9,1,7,0.45,-3.04
Not Specified,0,0.02,4,4,1,0.56,7.64
Critical,15,0.08,8,7,9,0.58,19
Critical,15,0.1,19,3,10,0.37,5.39
Medium,7,0.06,20,7,11,0.6,64.6
Medium,7,0.06,321,6,59,0.57,923.26
High,10,0.08,8,25,8,0.49,74
Not Specified,0,0,9,48,6,0.38,158.16
Medium,7,0.06,7,7,2,0.38,13.68
Low,5,0.01,5,10,5,0.36,12.5
Low,5,0.04,6,12,1,0.39,24.2
High,10,0.08,8,6,8,0.49,11.68
Critical,15,0.09,3,2,1,0.56,1.82
Not Specified,0,0,9,12,6,0.38,35.04
Medium,7,0.06,7,2,2,0.38,2.48
Critical,15,0.02,111,6,14,0.69,432.22
Low,5,0.04,23,37,9,0.44,331.4
Low,5,0.04,3,20,2,0.57,29.8
Low,5,0.01,126,25,9,0.59,1818
Critical,15,0.02,111,2,14,0.69,134.74
Critical,15,0.01,8,8,3,0.4,21.96
Low,5,0.04,23,9,9,0.44,73.8
Low,5,0.04,3,5,2,0.57,5.95
Low,5,0.01,126,6,9,0.59,429.48
Medium,7,0.06,49,29,6,0.38,12.88
Medium,7,0.1,6,12,8,0.39,8.8
Medium,7,0.03,2,10,1,0.52,6.74
Critical,15,0.09,2,9,1,0.52,-63.01
Critical,15,0.95,179,1,29,0.76,60.69
Medium,7,0,13,9,6,0.57,51.36
Critical,15,0.01,2,46,2,0.59,36.44
Medium,7,0.1,8,18,1,0.36,220.02
Medium,7,0,126,3,3,0.59,133
Medium,7,0.1,12,25,2,0.55,932.36
Medium,7,0.05,328,6,91,0.57,13.3
Medium,7,0.03,90,1,20,0.4,45.13
Medium,7,0.06,23,7,8,0.39,76.1
Critical,15,0.08,31,10,20,0.39,11.92
Critical,15,0.01,2,12,2,0.59,44.08
Medium,7,0.06,16,8,2,0.42,134
Not Specified,0,0.05,28,10,6,0.55,4.1
Medium,7,0.05,15,3,13,0.43,1.72
Medium,7,0.05,4,3,2,0.36,41.52
Medium,7,0.02,12,12,6,0.35,448.72
Medium,7,0.02,16,17,18,0.59,137.04
Medium,7,0.05,351,25,39,0.55,4348.5
Medium,7,0.04,16,20,9,0.49,135
High,10,0.05,58,13,1,0.38,247.82
Medium,7,0.02,12,3,6,0.35,5.88
Medium,7,0.05,351,6,39,0.55,1014
Medium,7,0.04,16,5,9,0.49,27
Low,5,0.09,3,10,1,0.56,13.1
Critical,15,0.09,207,5,1,0.55,475.1
Critical,15,0.1,19,1,9,0.37,-3.87
Critical,15,0,120,5,56,0.39,178
High,10,0.02,141,27,53,0.65,2345.41
Critical,15,0.02,60,9,4,0.57,293
Low,5,0.07,4,33,7,0.39,35.24
Medium,7,0.04,280,16,23,0.59,2441
Medium,7,0.02,5,36,1,0.36,60.2
Medium,7,0.02,30,46,1,0.37,482
High,10,0.95,32,9,46,0.65,-132.4
Not Specified,0,0.04,356,8,59,0.64,1649.8
Not Specified,0,0.09,20,5,9,0.37,19
Medium,7,0.08,8,10,5,0.35,16.6
Medium,7,0.03,105,10,24,0.61,585
Medium,7,0.02,5,9,1,0.36,14.3
Medium,7,0.02,30,12,1,0.37,125
Critical,15,0.04,10,9,2,0.43,33.1
Critical,15,0,20,9,14,0.47,70.6
Critical,15,0.09,33,2,6,0.75,37.56
Low,5,0.02,881,8,45,0.62,4183.8
Critical,15,0.01,81,3,35,0.83,164.26
High,10,0.02,15,9,10,0.36,35.9
High,10,0.07,180,7,20,0.48,496.6
High,10,0.02,92,11,40,0.67,617.8
Medium,7,0.07,3,12,1,0.38,10.16
Medium,7,0,218,10,29,0.68,1453.4
Not Specified,0,0,7,5,8,0.58,12.3
Not Specified,0,0.07,31,11,6,0.4,106.53
Medium,7,0.01,74,5,12,0.67,232.2
Low,5,0.1,238,30,24,0.5,2832
Low,5,0.03,200,21,24,0.46,1782
Low,5,0.08,68,5,1,0.58,169
High,10,0.01,14,6,7,0.52,35.84
Low,5,0.1,238,8,24,0.5,737.6
Low,5,0.03,200,5,24,0.46,406
Low,5,0.08,68,1,1,0.58,33
Medium,7,0.01,12,6,7,0.5,28.28
Critical,15,0.06,2,1,4,0.53,-3.06
Not Specified,0,0.1,126,4,9,0.57,227.88
High,10,0.01,3,5,1,0.38,4.55
High,10,0.08,151,31,14,0.38,1390.3
High,10,0.03,26,15,14,0.6,208.3
High,10,0.1,32,39,35,0.81,851.08
Medium,7,0.09,40,10,7,0.67,225
Medium,7,0.06,376,24,86,0.74,6050.32
Medium,7,0.08,91,12,56,0.74,664.72
Medium,7,0.07,6,3,5,0.4,0.94
High,10,0.01,3,1,1,0.38,0.11
High,10,0.03,14,8,5,0.49,46.52
High,10,0.08,151,8,14,0.38,348.4
High,10,0.03,26,4,14,0.6,45.28
High,10,0.1,32,10,35,0.81,192.2
Medium,7,0.02,111,4,3,0.57,241.2
Medium,7,0.02,111,1,3,0.57,58.05
Not Specified,0,0.08,206,10,3,0.59,1047.6
Critical,15,0.09,3,9,1,0.58,12.23
Critical,15,0.03,44,10,9,0.58,233
Critical,15,0.06,1,13,1,0.38,3.16
Medium,7,0,7,36,2,0.39,96.28
High,10,0.06,55,1,14,0.37,3.05
High,10,0.02,2,3,2,0.59,1.42
Low,5,0.02,60,1,4,0.57,29
Low,5,0.03,5,9,6,0.36,8.85
Medium,7,0,7,9,2,0.39,22.57
Medium,7,0.03,32,8,35,0.81,164.68
High,10,0.06,55,1,14,0.37,3.05
High,10,0.02,2,1,2,0.59,-0.86
Medium,7,0.02,421,10,20,0.35,1369.3
Medium,7,0.02,241,1,60,0.56,70.14
Critical,15,0.09,96,4,5,0.56,175.48
Critical,15,0.08,16,23,9,0.64,197.08
Critical,15,0.1,32,11,2,0.42,110.64
Low,5,0.07,575,8,24,0.06,-93
Low,5,0.1,50,46,20,0.45,785
Not Specified,0,0,7,9,2,0.38,21.94
Critical,15,0.03,8,4,3,0.59,14.92
Low,5,0.09,161,11,30,0.62,908.63
Low,5,0.09,6,10,1,0.39,17
Low,5,0,5,8,1,0.36,13.4
Not Specified,0,0.05,8,2,6,0.36,-1.04
Not Specified,0,0.95,219,10,70,0.15,-1832.95
Critical,15,0.06,45,37,2,0.55,813.85
Low,5,0.01,3,4,1,0.37,3.32
Critical,15,0.06,81,10,34,0.37,217.1
Low,5,0.02,1,38,1,0.38,12.68
High,10,0.09,123,49,70,0.74,3847.55
Critical,15,0.95,154,8,69,0.68,-401.64
Not Specified,0,0,8,11,8,0.49,35.12
High,10,0.09,123,12,70,0.74,889.4
Not Specified,0,0.02,36,7,5,0.85,204.16
Medium,7,0.07,14,47,6,0.38,197.98
Low,5,0.03,3,2,1,0.58,2.3
Medium,7,0.05,2,8,6,0.37,-0.88
Medium,7,0.03,6,9,7,0.37,11.36
Medium,7,0.08,146,11,80,0.71,931.78
Medium,7,0.07,14,12,6,0.38,46.08
Low,5,0.03,3,1,1,0.58,0.65
Medium,7,0,5,12,1,0.36,20.6
Medium,7,0.01,7,6,11,0.37,4.12
Medium,7,0.1,7,3,7,0.37,-1.33
Medium,7,0.05,13,2,1,0.35,6.8
Medium,7,0.06,6,9,3,0.54,22.92
Low,5,0.08,145,8,18,0.56,538.8
Low,5,0.07,34,5,19,0.58,67.7
Low,5,0.07,30,13,2,0.5,165.7
Low,5,0.03,8,5,5,0.4,9.8
Medium,7,0.07,2,10,2,0.51,6.8
Medium,7,0.08,10,15,13,0.57,60.5
Medium,7,0.07,501,10,28,0.38,1525.1
Medium,7,0.1,178,1,20,0.55,60.1
Low,5,0.07,3,12,1,0.55,16.28
Low,5,0.1,196,2,4,0.58,184.16
Critical,15,0,7,7,2,0.37,16.13
Critical,15,0.06,280,6,23,0.59,867.4
High,10,0.02,260,8,67,0.65,1243.4
Critical,15,0.09,1000,1,14,0.06,-49
High,10,0.02,71,4,69,0.68,118.44
High,10,0.03,206,1,9,0.6,108.42
Low,5,0.03,161,11,30,0.62,1014.89
Medium,7,0.05,7,46,6,0.37,97.04
Medium,7,0.03,18,14,9,0.59,132.12
Medium,7,0.07,31,46,3,0.35,396.28
Low,5,0.04,20,8,9,0.37,43.8
Low,5,0.08,126,7,8,0.58,433
Medium,7,0.07,31,12,3,0.35,101.16
Not Specified,0,0.07,180,4,20,0.48,275.2
Not Specified,0,0.07,180,1,20,0.48,53.8
High,10,0.1,106,5,14,0.65,277.5
Critical,15,0.01,14,7,8,0.39,29.24
High,10,0.04,11,10,5,0.36,30.2
Critical,15,0.01,14,2,8,0.39,2.64
Medium,7,0.06,6,6,5,0.38,6.52
Medium,7,0,20,11,14,0.47,89.4
Critical,15,0.08,61,17,49,0.59,479.87
Critical,15,0.07,271,36,50,0.77,6779.2
High,10,0.05,206,12,9,0.58,1301.16
High,10,0.08,206,5,9,0.56,485.4
High,10,0.01,2036,2,15,0.55,2183.88
Critical,15,0.07,271,9,50,0.77,1657.3
Medium,7,0.03,13,1,7,0.38,-2.45
Low,5,0.1,7,15,0,0.38,29.4
Low,5,0.08,7,20,2,0.52,59.6
Medium,7,0.06,7,17,6,0.39,33.27
High,10,0.08,14,13,7,0.38,47.6
High,10,0.04,3,22,2,0.39,21.1
Medium,7,0.03,13,1,7,0.38,-2.45
Not Specified,0,0.04,151,6,14,0.38,294.04
Not Specified,0,0.04,176,4,12,0.62,396.32
Low,5,0.1,7,4,0,0.38,7.84
Low,5,0.08,7,5,2,0.52,13.4
Medium,7,0.05,6,9,8,0.37,9.28
Medium,7,0.06,7,4,6,0.39,3.24
High,10,0.04,3,6,2,0.39,4.3
High,10,0.05,116,10,3,0.55,577
Critical,15,0.03,194,42,12,0.59,4550.88
Critical,15,0.02,121,44,59,0.75,3827.52
